Lon Lat SlabDep
-152.254 61.2989 117.537
-152.42 61.5985 132.113
-152.672 60.7194 122.537
-152.744 60.4852 116.268
-153.092 60.0319 111.516
-153.435 59.3626 98.9302
-153.535 58.8596 81.4492
-153.674 58.7703 82.9523
-154.024 58.6113 87.2356
-154.3 58.4753 88.372
-154.357 58.4528 88.8677
-154.39 58.4301 88.5102
-154.451 58.4173 89.8098
-154.47 58.64 104.616
-154.51 58.55 100.49
-154.54 58.58 103.58
-154.56 58.59 105
-154.68 58.5 103.92
-154.686 58.3336 92.9772
-154.953 58.279 100.169
-155.103 58.2343 103.515
-155.104 58.3572 112.171
-155.159 58.2654 108.197
-155.21 58.41 120.76
-155.254 58.1946 107.475
-155.357 58.1692 110.313
-155.4 58.1573 111.426
-155.514 57.8338 92.8434
-155.671 58.053 115.685
-156.14 58.04 132.468
-156.37 57.7503 115.363
-156.512 57.831 126.095
-156.747 57.2019 90.4429
-156.847 57.7051 128.427
-156.991 57.1335 95.5713
-157.186 57.0179 95.9325
